Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2511,Wheat and products,2016,2016,1000 tonnes,7267,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2016,2016,1000 tonnes,593,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2513,Barley and products,2016,2016,1000 tonnes,318,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2514,Maize and products,2016,2016,1000 tonnes,337,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2515,Rye and products,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2516,Oats,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2517,Millet and products,2016,2016,1000 tonnes,10,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2518,Sorghum and products,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2520,"Cereals, Other",2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2532,Cassava and products,2016,2016,1000 tonnes,2,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2531,Potatoes and products,2016,2016,1000 tonnes,272,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2533,Sweet potatoes,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2535,Yams,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5301,Domestic supply quantity,2534,"Roots, Other",2016,2016,1000 tonnes,0,S,Standardized data
