Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","5511","Production","2761","Freshwater Fish","2016","2016","1000 tonnes","8","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2761","Freshwater Fish","2016","2016","1000 tonnes","2","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2762","Demersal Fish","2016","2016","1000 tonnes","2","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2763","Pelagic Fish","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2764","Marine Fish, Other","2016","2016","1000 tonnes","1","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2765","Crustaceans","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2766","Cephalopods","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2767","Molluscs, Other","2016","2016","1000 tonnes","1","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2769","Aquatic Animals, Others","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","3","Albania","5511","Production","2775","Aquatic Plants","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2761","Freshwater Fish","2016","2016","1000 tonnes","1","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2762","Demersal Fish","2016","2016","1000 tonnes","9","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2763","Pelagic Fish","2016","2016","1000 tonnes","69","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2764","Marine Fish, Other","2016","2016","1000 tonnes","13","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2765","Crustaceans","2016","2016","1000 tonnes","2","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2766","Cephalopods","2016","2016","1000 tonnes","2","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2767","Molluscs, Other","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","4","Algeria","5511","Production","2775","Aquatic Plants","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2781","Fish, Body Oil","2016","2016","1000 tonnes","7","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2761","Freshwater Fish","2016","2016","1000 tonnes","19","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2762","Demersal Fish","2016","2016","1000 tonnes","93","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2763","Pelagic Fish","2016","2016","1000 tonnes","276","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2764","Marine Fish, Other","2016","2016","1000 tonnes","96","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2765","Crustaceans","2016","2016","1000 tonnes","3","S","Standardized data"
"FBS","New Food Balances","7","Angola","5511","Production","2766","Cephalopods","2016","2016","1000 tonnes","1","S","Standardized data"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2781","Fish, Body Oil","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2762","Demersal Fish","2016","2016","1000 tonnes","1","S","Standardized data"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2763","Pelagic Fish","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2764","Marine Fish, Other","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2765","Crustaceans","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","8","Antigua and Barbuda","5511","Production","2767","Molluscs, Other","2016","2016","1000 tonnes","4","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2781","Fish, Body Oil","2016","2016","1000 tonnes","1","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2782","Fish, Liver Oil","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2761","Freshwater Fish","2016","2016","1000 tonnes","23","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2762","Demersal Fish","2016","2016","1000 tonnes","436","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2763","Pelagic Fish","2016","2016","1000 tonnes","24","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2764","Marine Fish, Other","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2765","Crustaceans","2016","2016","1000 tonnes","181","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2766","Cephalopods","2016","2016","1000 tonnes","60","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2767","Molluscs, Other","2016","2016","1000 tonnes","36","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2769","Aquatic Animals, Others","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","9","Argentina","5511","Production","2775","Aquatic Plants","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","1","Armenia","5511","Production","2761","Freshwater Fish","2016","2016","1000 tonnes","17","S","Standardized data"
"FBS","New Food Balances","1","Armenia","5511","Production","2765","Crustaceans","2016","2016","1000 tonnes","3","S","Standardized data"
"FBS","New Food Balances","1","Armenia","5511","Production","2775","Aquatic Plants","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","10","Australia","5511","Production","2781","Fish, Body Oil","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","10","Australia","5511","Production","2782","Fish, Liver Oil","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","10","Australia","5511","Production","2761","Freshwater Fish","2016","2016","1000 tonnes","63","S","Standardized data"
"FBS","New Food Balances","10","Australia","5511","Production","2762","Demersal Fish","2016","2016","1000 tonnes","41","S","Standardized data"
