Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","2","Afghanistan","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6716","Planted Forest","2018","2018","1000 ha","70.39","Fm","Manual Estimation"
"RL","Land Use","4","Algeria","5110","Area","6716","Planted Forest","2018","2018","1000 ha","428","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","5","American Samoa","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","6","Andorra","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","7","Angola","5110","Area","6716","Planted Forest","2018","2018","1000 ha","820.65","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6716","Planted Forest","2018","2018","1000 ha","1375","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","1","Armenia","5110","Area","6716","Planted Forest","2018","2018","1000 ha","18.89","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","22","Aruba","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0","Fm","Manual Estimation"
"RL","Land Use","10","Australia","5110","Area","6716","Planted Forest","2018","2018","1000 ha","2390.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","11","Austria","5110","Area","6716","Planted Forest","2018","2018","1000 ha","1672.7","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","52","Azerbaijan","5110","Area","6716","Planted Forest","2018","2018","1000 ha","299.35","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","12","Bahamas","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","13","Bahrain","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0.66","Fm","Manual Estimation"
"RL","Land Use","16","Bangladesh","5110","Area","6716","Planted Forest","2018","2018","1000 ha","158.07","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","14","Barbados","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","57","Belarus","5110","Area","6716","Planted Forest","2018","2018","1000 ha","2190.8","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","255","Belgium","5110","Area","6716","Planted Forest","2018","2018","1000 ha","438.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","23","Belize","5110","Area","6716","Planted Forest","2018","2018","1000 ha","2.37","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","53","Benin","5110","Area","6716","Planted Forest","2018","2018","1000 ha","20","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","18","Bhutan","5110","Area","6716","Planted Forest","2018","2018","1000 ha","20.6","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","19","Bolivia (Plurinational State of)","5110","Area","6716","Planted Forest","2018","2018","1000 ha","62.6","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","278","Bonaire, Sint Eustatius and Saba","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0","Fm","Manual Estimation"
"RL","Land Use","80","Bosnia and Herzegovina","5110","Area","6716","Planted Forest","2018","2018","1000 ha","119.31","Fm","Manual Estimation"
"RL","Land Use","20","Botswana","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","21","Brazil","5110","Area","6716","Planted Forest","2018","2018","1000 ha","10503.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","26","Brunei Darussalam","5110","Area","6716","Planted Forest","2018","2018","1000 ha","5.26","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","27","Bulgaria","5110","Area","6716","Planted Forest","2018","2018","1000 ha","797","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","233","Burkina Faso","5110","Area","6716","Planted Forest","2018","2018","1000 ha","166.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","29","Burundi","5110","Area","6716","Planted Forest","2018","2018","1000 ha","112.97","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","35","Cabo Verde","5110","Area","6716","Planted Forest","2018","2018","1000 ha","31.44","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","115","Cambodia","5110","Area","6716","Planted Forest","2018","2018","1000 ha","580.09","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","32","Cameroon","5110","Area","6716","Planted Forest","2018","2018","1000 ha","57.1","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","33","Canada","5110","Area","6716","Planted Forest","2018","2018","1000 ha","17309.06","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","36","Cayman Islands","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0","Fm","Manual Estimation"
"RL","Land Use","37","Central African Republic","5110","Area","6716","Planted Forest","2018","2018","1000 ha","2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","39","Chad","5110","Area","6716","Planted Forest","2018","2018","1000 ha","19.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","259","Channel Islands","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0.22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","40","Chile","5110","Area","6716","Planted Forest","2018","2018","1000 ha","3120.39","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","351","China","5110","Area","6716","Planted Forest","2018","2018","1000 ha","82470.82","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","41","China, mainland","5110","Area","6716","Planted Forest","2018","2018","1000 ha","82470.82","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","44","Colombia","5110","Area","6716","Planted Forest","2018","2018","1000 ha","427.4","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","45","Comoros","5110","Area","6716","Planted Forest","2018","2018","1000 ha","0.43","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","46","Congo","5110","Area","6716","Planted Forest","2018","2018","1000 ha","59.5","Q","Official data reported on FAO Questionnaires from countries"
