Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","2","Afghanistan","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","9410","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5320","Producing Animals/Slaughtered","1127","Meat, camel","2016","2016","Head","19578","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5320","Producing Animals/Slaughtered","867","Meat, cattle","2016","2016","Head","748547","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2016","2016","1000 Head","30762","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5320","Producing Animals/Slaughtered","1017","Meat, goat","2016","2016","Head","3536309","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5320","Producing Animals/Slaughtered","977","Meat, sheep","2016","2016","Head","6684931","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5318","Milk Animals","1130","Milk, whole fresh camel","2016","2016","Head","21957","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5318","Milk Animals","882","Milk, whole fresh cow","2016","2016","Head","3548774","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5318","Milk Animals","1020","Milk, whole fresh goat","2016","2016","Head","2582607","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5318","Milk Animals","982","Milk, whole fresh sheep","2016","2016","Head","6859673","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","4790","","Official data"
"QL","Livestock Primary","3","Albania","5313","Laying","1091","Eggs, other bird, in shell","2016","2016","1000 Head","","M","Data not available"
"QL","Livestock Primary","3","Albania","5320","Producing Animals/Slaughtered","867","Meat, cattle","2016","2016","Head","327272","","Official data"
"QL","Livestock Primary","3","Albania","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2016","2016","1000 Head","11634","","Official data"
"QL","Livestock Primary","3","Albania","5320","Producing Animals/Slaughtered","1017","Meat, goat","2016","2016","Head","644102","","Official data"
"QL","Livestock Primary","3","Albania","5320","Producing Animals/Slaughtered","1097","Meat, horse","2016","2016","Head","0","","Official data"
"QL","Livestock Primary","3","Albania","5320","Producing Animals/Slaughtered","1035","Meat, pig","2016","2016","Head","200597","","Official data"
"QL","Livestock Primary","3","Albania","5320","Producing Animals/Slaughtered","977","Meat, sheep","2016","2016","Head","1380104","","Official data"
"QL","Livestock Primary","3","Albania","5321","Producing Animals/Slaughtered","1080","Meat, turkey","2016","2016","1000 Head","211","","Official data"
"QL","Livestock Primary","3","Albania","5318","Milk Animals","951","Milk, whole fresh buffalo","2016","2016","Head","25","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5318","Milk Animals","882","Milk, whole fresh cow","2016","2016","Head","354872","","Official data"
"QL","Livestock Primary","3","Albania","5318","Milk Animals","1020","Milk, whole fresh goat","2016","2016","Head","716163","","Official data"
"QL","Livestock Primary","3","Albania","5318","Milk Animals","982","Milk, whole fresh sheep","2016","2016","Head","1427983","","Official data"
"QL","Livestock Primary","4","Algeria","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","23474","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5320","Producing Animals/Slaughtered","1127","Meat, camel","2016","2016","Head","40660","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5320","Producing Animals/Slaughtered","867","Meat, cattle","2016","2016","Head","790000","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2016","2016","1000 Head","278507","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5320","Producing Animals/Slaughtered","1017","Meat, goat","2016","2016","Head","1870702","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5320","Producing Animals/Slaughtered","1097","Meat, horse","2016","2016","Head","2633","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5320","Producing Animals/Slaughtered","1035","Meat, pig","2016","2016","Head","2909","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5321","Producing Animals/Slaughtered","1141","Meat, rabbit","2016","2016","1000 Head","8328","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5320","Producing Animals/Slaughtered","977","Meat, sheep","2016","2016","Head","17212435","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5321","Producing Animals/Slaughtered","1080","Meat, turkey","2016","2016","1000 Head","4240","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5318","Milk Animals","1130","Milk, whole fresh camel","2016","2016","Head","87202","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5318","Milk Animals","882","Milk, whole fresh cow","2016","2016","Head","1066625","","Official data"
"QL","Livestock Primary","4","Algeria","5318","Milk Animals","1020","Milk, whole fresh goat","2016","2016","Head","2903147","","Official data"
"QL","Livestock Primary","4","Algeria","5318","Milk Animals","982","Milk, whole fresh sheep","2016","2016","Head","17161321","","Official data"
"QL","Livestock Primary","5","American Samoa","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","9","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5320","Producing Animals/Slaughtered","1166","Meat nes","2016","2016","Head","","M","Data not available"
"QL","Livestock Primary","5","American Samoa","5320","Producing Animals/Slaughtered","867","Meat, cattle","2016","2016","Head","25","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2016","2016","1000 Head","31","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5320","Producing Animals/Slaughtered","1035","Meat, pig","2016","2016","Head","6300","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5318","Milk Animals","882","Milk, whole fresh cow","2016","2016","Head","24","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","900","F","FAO estimate"
"QL","Livestock Primary","7","Angola","5320","Producing Animals/Slaughtered","867","Meat, cattle","2016","2016","Head","640710","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2016","2016","1000 Head","30693","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5320","Producing Animals/Slaughtered","1017","Meat, goat","2016","2016","Head","1325845","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5320","Producing Animals/Slaughtered","1035","Meat, pig","2016","2016","Head","1489993","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5320","Producing Animals/Slaughtered","977","Meat, sheep","2016","2016","Head","280568","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5318","Milk Animals","882","Milk, whole fresh cow","2016","2016","Head","430705","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","8","Antigua and Barbuda","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","58","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","8","Antigua and Barbuda","5320","Producing Animals/Slaughtered","867","Meat, cattle","2016","2016","Head","800","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","8","Antigua and Barbuda","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2016","2016","1000 Head","80","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","8","Antigua and Barbuda","5320","Producing Animals/Slaughtered","1017","Meat, goat","2016","2016","Head","1300","F","FAO estimate"
"QL","Livestock Primary","8","Antigua and Barbuda","5320","Producing Animals/Slaughtered","1035","Meat, pig","2016","2016","Head","1261","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","8","Antigua and Barbuda","5320","Producing Animals/Slaughtered","977","Meat, sheep","2016","2016","Head","1000","F","FAO estimate"
"QL","Livestock Primary","8","Antigua and Barbuda","5318","Milk Animals","882","Milk, whole fresh cow","2016","2016","Head","3400","F","FAO estimate"
"QL","Livestock Primary","8","Antigua and Barbuda","5318","Milk Animals","1020","Milk, whole fresh goat","2016","2016","Head","","M","Data not available"
"QL","Livestock Primary","9","Argentina","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","43100","","Official data"
"QL","Livestock Primary","9","Argentina","5320","Producing Animals/Slaughtered","1166","Meat nes","2016","2016","Head","","M","Data not available"
"QL","Livestock Primary","9","Argentina","5320","Producing Animals/Slaughtered","867","Meat, cattle","2016","2016","Head","11720350","","Official data"
"QL","Livestock Primary","9","Argentina","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2016","2016","1000 Head","704023","","Official data"
"QL","Livestock Primary","9","Argentina","5321","Producing Animals/Slaughtered","1069","Meat, duck","2016","2016","1000 Head","3637","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","9","Argentina","5320","Producing Animals/Slaughtered","1163","Meat, game","2016","2016","Head","","M","Data not available"
"QL","Livestock Primary","9","Argentina","5320","Producing Animals/Slaughtered","1017","Meat, goat","2016","2016","Head","1112880","","Official data"
"QL","Livestock Primary","9","Argentina","5321","Producing Animals/Slaughtered","1073","Meat, goose and guinea fowl","2016","2016","1000 Head","187","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","9","Argentina","5320","Producing Animals/Slaughtered","1097","Meat, horse","2016","2016","Head","98573","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","9","Argentina","5320","Producing Animals/Slaughtered","1035","Meat, pig","2016","2016","Head","5986561","","Official data"
"QL","Livestock Primary","9","Argentina","5321","Producing Animals/Slaughtered","1141","Meat, rabbit","2016","2016","1000 Head","1309","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","9","Argentina","5320","Producing Animals/Slaughtered","977","Meat, sheep","2016","2016","Head","3142909","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","9","Argentina","5321","Producing Animals/Slaughtered","1080","Meat, turkey","2016","2016","1000 Head","6922","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","9","Argentina","5318","Milk Animals","882","Milk, whole fresh cow","2016","2016","Head","1773265","","Official data"
