Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5313","Laying","1062","Eggs, hen, in shell","2015","2015","1000 Head","9336","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","9368","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5313","Laying","1062","Eggs, hen, in shell","2017","2017","1000 Head","10688","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5313","Laying","1062","Eggs, hen, in shell","2018","2018","1000 Head","10659","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5313","Laying","1062","Eggs, hen, in shell","2019","2019","1000 Head","10517","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1129","Fat, camels","2015","2015","Head","19986","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1129","Fat, camels","2016","2016","Head","19966","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1129","Fat, camels","2017","2017","Head","20283","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1129","Fat, camels","2018","2018","Head","20462","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1129","Fat, camels","2019","2019","Head","20370","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","869","Fat, cattle","2015","2015","Head","619065","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","869","Fat, cattle","2016","2016","Head","589150","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","869","Fat, cattle","2017","2017","Head","529014","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","869","Fat, cattle","2018","2018","Head","510637","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","869","Fat, cattle","2019","2019","Head","529954","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1019","Fat, goats","2015","2015","Head","3675215","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1019","Fat, goats","2016","2016","Head","3466901","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1019","Fat, goats","2017","2017","Head","3517502","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1019","Fat, goats","2018","2018","Head","3578276","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","1019","Fat, goats","2019","2019","Head","3664553","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5320","Producing Animals/Slaughtered","979","Fat, sheep","2015","2015","Head","6721936","Im","FAO data based on imputation methodology"
