Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2511,Wheat and products,2016,2016,1000 tonnes,-29,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2805,Rice (Milled Equivalent),2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2513,Barley and products,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2514,Maize and products,2016,2016,1000 tonnes,-8,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2515,Rye and products,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2516,Oats,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2517,Millet and products,2016,2016,1000 tonnes,1,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2518,Sorghum and products,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2520,"Cereals, Other",2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2532,Cassava and products,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2531,Potatoes and products,2016,2016,1000 tonnes,231,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2533,Sweet potatoes,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2535,Yams,2016,2016,1000 tonnes,-1,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2534,"Roots, Other",2016,2016,1000 tonnes,-1,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2536,Sugar cane,2016,2016,1000 tonnes,-20,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2537,Sugar beet,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2541,Sugar non-centrifugal,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2542,Sugar (Raw Equivalent),2016,2016,1000 tonnes,47,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2543,"Sweeteners, Other",2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2745,Honey,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2546,Beans,2016,2016,1000 tonnes,-16,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2547,Peas,2016,2016,1000 tonnes,3,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2549,"Pulses, Other and products",2016,2016,1000 tonnes,-10,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2551,Nuts and products,2016,2016,1000 tonnes,-2,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2555,Soyabeans,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2556,Groundnuts (Shelled Eq),2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2557,Sunflower seed,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2558,Rape and Mustardseed,2016,2016,1000 tonnes,0,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2559,Cottonseed,2016,2016,1000 tonnes,2,S,Standardized data
FBS,New Food Balances,2,Afghanistan,5072,Stock Variation,2560,Coconuts - Incl Copra,2016,2016,1000 tonnes,0,S,Standardized data
