Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1062","Eggs, hen, in shell","2015","2015","tonnes","19833","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1062","Eggs, hen, in shell","2016","2016","tonnes","19910","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1062","Eggs, hen, in shell","2017","2017","tonnes","20000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1062","Eggs, hen, in shell","2018","2018","tonnes","22412","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1062","Eggs, hen, in shell","2019","2019","tonnes","22159","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2015","2015","1000 No","396660","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2016","2016","1000 No","398196","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2017","2017","1000 No","400000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","448248","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2019","2019","1000 No","443181","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1129","Fat, camels","2015","2015","tonnes","252","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1129","Fat, camels","2016","2016","tonnes","252","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1129","Fat, camels","2017","2017","tonnes","256","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1129","Fat, camels","2018","2018","tonnes","258","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1129","Fat, camels","2019","2019","tonnes","257","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","869","Fat, cattle","2015","2015","tonnes","2733","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","869","Fat, cattle","2016","2016","tonnes","2601","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","869","Fat, cattle","2017","2017","tonnes","2336","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","869","Fat, cattle","2018","2018","tonnes","2255","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","869","Fat, cattle","2019","2019","tonnes","2340","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1019","Fat, goats","2015","2015","tonnes","1756","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1019","Fat, goats","2016","2016","tonnes","1656","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1019","Fat, goats","2017","2017","tonnes","1681","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1019","Fat, goats","2018","2018","tonnes","1710","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1019","Fat, goats","2019","2019","tonnes","1751","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","979","Fat, sheep","2015","2015","tonnes","6041","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","979","Fat, sheep","2016","2016","tonnes","6059","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","979","Fat, sheep","2017","2017","tonnes","6333","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","979","Fat, sheep","2018","2018","tonnes","6383","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","979","Fat, sheep","2019","2019","tonnes","4849","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","919","Hides, cattle, fresh","2015","2015","tonnes","18293","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","919","Hides, cattle, fresh","2016","2016","tonnes","17409","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","919","Hides, cattle, fresh","2017","2017","tonnes","15632","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","919","Hides, cattle, fresh","2018","2018","tonnes","15089","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","919","Hides, cattle, fresh","2019","2019","tonnes","15660","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2015","2015","tonnes","1741","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2016","2016","tonnes","1604","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2017","2017","tonnes","1482","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2018","2018","tonnes","1361","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1182","Honey, natural","2019","2019","tonnes","1239","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1127","Meat, camel","2015","2015","tonnes","3597","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1127","Meat, camel","2016","2016","tonnes","3594","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1127","Meat, camel","2017","2017","tonnes","3651","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1127","Meat, camel","2018","2018","tonnes","3683","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1127","Meat, camel","2019","2019","tonnes","3667","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","867","Meat, cattle","2015","2015","tonnes","111438","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","867","Meat, cattle","2016","2016","tonnes","106054","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","867","Meat, cattle","2017","2017","tonnes","95229","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","867","Meat, cattle","2018","2018","tonnes","91920","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","867","Meat, cattle","2019","2019","tonnes","95398","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1058","Meat, chicken","2015","2015","tonnes","24559","Im","FAO data based on imputation methodology"
