Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5419","Yield","221","Almonds, with shell","2016","2016","hg/ha","16859","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","711","Anise, badian, fennel, coriander","2016","2016","hg/ha","7037","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","515","Apples","2016","2016","hg/ha","72762","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","526","Apricots","2016","2016","hg/ha","20819","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","44","Barley","2016","2016","hg/ha","13770","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","558","Berries nes","2016","2016","hg/ha","63238","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","569","Figs","2016","2016","hg/ha","38755","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","512","Fruit, citrus nes","2016","2016","hg/ha","109418","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","619","Fruit, fresh nes","2016","2016","hg/ha","75350","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","541","Fruit, stone nes","2016","2016","hg/ha","70651","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","560","Grapes","2016","2016","hg/ha","106069","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","333","Linseed","2016","2016","hg/ha","3787","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","56","Maize","2016","2016","hg/ha","20517","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","568","Melons, other (inc.cantaloupes)","2016","2016","hg/ha","63322","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","79","Millet","2016","2016","hg/ha","33190","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","234","Nuts nes","2016","2016","hg/ha","9073","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","260","Olives","2016","2016","hg/ha","34806","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","403","Onions, dry","2016","2016","hg/ha","106223","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","490","Oranges","2016","2016","hg/ha","41808","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","534","Peaches and nectarines","2016","2016","hg/ha","49215","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","521","Pears","2016","2016","hg/ha","38826","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","223","Pistachios","2016","2016","hg/ha","12357","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","536","Plums and sloes","2016","2016","hg/ha","56039","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","116","Potatoes","2016","2016","hg/ha","119868","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","211","Pulses nes","2016","2016","hg/ha","7232","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","27","Rice, paddy","2016","2016","hg/ha","29963","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","328","Seed cotton","2016","2016","hg/ha","11545","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","289","Sesame seed","2016","2016","hg/ha","21333","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","723","Spices nes","2016","2016","hg/ha","23","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","157","Sugar beet","2016","2016","hg/ha","78317","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","156","Sugar cane","2016","2016","hg/ha","130263","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","267","Sunflower seed","2016","2016","hg/ha","15383","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","463","Vegetables, fresh nes","2016","2016","hg/ha","87947","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","222","Walnuts, with shell","2016","2016","hg/ha","16498","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","567","Watermelons","2016","2016","hg/ha","115473","Fc","Calculated data"
"QC","Crops","2","Afghanistan","5419","Yield","15","Wheat","2016","2016","hg/ha","19803","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","515","Apples","2016","2016","hg/ha","240028","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","526","Apricots","2016","2016","hg/ha","159325","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","44","Barley","2016","2016","hg/ha","28995","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","176","Beans, dry","2016","2016","hg/ha","18120","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","414","Beans, green","2016","2016","hg/ha","126370","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","181","Broad beans, horse beans, dry","2016","2016","hg/ha","12495","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","358","Cabbages and other brassicas","2016","2016","hg/ha","306907","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","426","Carrots and turnips","2016","2016","hg/ha","331652","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","393","Cauliflowers and broccoli","2016","2016","hg/ha","198350","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","531","Cherries","2016","2016","hg/ha","91806","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","530","Cherries, sour","2016","2016","hg/ha","57941","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","220","Chestnut","2016","2016","hg/ha","25125","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","401","Chillies and peppers, green","2016","2016","hg/ha","261259","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","397","Cucumbers and gherkins","2016","2016","hg/ha","415692","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","577","Dates","2016","2016","hg/ha","293264","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","399","Eggplants (aubergines)","2016","2016","hg/ha","270305","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","569","Figs","2016","2016","hg/ha","140376","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","512","Fruit, citrus nes","2016","2016","hg/ha","139271","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","619","Fruit, fresh nes","2016","2016","hg/ha","349935","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","406","Garlic","2016","2016","hg/ha","105107","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","560","Grapes","2016","2016","hg/ha","204776","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","677","Hops","2016","2016","hg/ha","7558","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","407","Leeks, other alliaceous vegetables","2016","2016","hg/ha","226890","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","497","Lemons and limes","2016","2016","hg/ha","68057","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","372","Lettuce and chicory","2016","2016","hg/ha","143092","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","56","Maize","2016","2016","hg/ha","64877","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","568","Melons, other (inc.cantaloupes)","2016","2016","hg/ha","274125","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","234","Nuts nes","2016","2016","hg/ha","146848","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","75","Oats","2016","2016","hg/ha","21718","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","430","Okra","2016","2016","hg/ha","112570","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","260","Olives","2016","2016","hg/ha","25476","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","403","Onions, dry","2016","2016","hg/ha","208738","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","402","Onions, shallots, green","2016","2016","hg/ha","199487","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","490","Oranges","2016","2016","hg/ha","481483","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","534","Peaches and nectarines","2016","2016","hg/ha","158380","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","521","Pears","2016","2016","hg/ha","188507","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","417","Peas, green","2016","2016","hg/ha","107992","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","536","Plums and sloes","2016","2016","hg/ha","163533","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","116","Potatoes","2016","2016","hg/ha","245894","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","211","Pulses nes","2016","2016","hg/ha","6336","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","394","Pumpkins, squash and gourds","2016","2016","hg/ha","265772","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","523","Quinces","2016","2016","hg/ha","52203","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","71","Rye","2016","2016","hg/ha","22533","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","328","Seed cotton","2016","2016","hg/ha","11081","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","236","Soybeans","2016","2016","hg/ha","25152","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","723","Spices nes","2016","2016","hg/ha","8669","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","373","Spinach","2016","2016","hg/ha","145913","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","157","Sugar beet","2016","2016","hg/ha","226093","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","267","Sunflower seed","2016","2016","hg/ha","28997","Fc","Calculated data"
"QC","Crops","3","Albania","5419","Yield","495","Tangerines, mandarins, clementines, satsumas","2016","2016","hg/ha","361051","Fc","Calculated data"
