Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","2","Afghanistan","5510","Production","1062","Eggs, hen, in shell","2016","2016","tonnes","19921","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5513","Production","1067","Eggs, hen, in shell (number)","2016","2016","1000 No","398420","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2016","2016","tonnes","1584","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1127","Meat, camel","2016","2016","tonnes","3599","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","867","Meat, cattle","2016","2016","tonnes","104515","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1058","Meat, chicken","2016","2016","tonnes","24434","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1163","Meat, game","2016","2016","tonnes","7980","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1017","Meat, goat","2016","2016","tonnes","46023","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","977","Meat, sheep","2016","2016","tonnes","107694","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1130","Milk, whole fresh camel","2016","2016","tonnes","6781","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","882","Milk, whole fresh cow","2016","2016","tonnes","1868253","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1020","Milk, whole fresh goat","2016","2016","tonnes","113090","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","982","Milk, whole fresh sheep","2016","2016","tonnes","200269","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1185","Silk-worm cocoons, reelable","2016","2016","tonnes","643","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1062","Eggs, hen, in shell","2016","2016","tonnes","52950","","Official data"
"QL","Livestock Primary","3","Albania","5513","Production","1067","Eggs, hen, in shell (number)","2016","2016","1000 No","830005","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1091","Eggs, other bird, in shell","2016","2016","tonnes","200","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5513","Production","1092","Eggs, other bird, in shell (number)","2016","2016","1000 No","3120","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1182","Honey, natural","2016","2016","tonnes","3923","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","867","Meat, cattle","2016","2016","tonnes","38880","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1058","Meat, chicken","2016","2016","tonnes","12702","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1017","Meat, goat","2016","2016","tonnes","9731","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1166","Meat, nes","2016","2016","tonnes","146","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1035","Meat, pig","2016","2016","tonnes","11424","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","977","Meat, sheep","2016","2016","tonnes","16569","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","951","Milk, whole fresh buffalo","2016","2016","tonnes","11","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","882","Milk, whole fresh cow","2016","2016","tonnes","975663","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","1020","Milk, whole fresh goat","2016","2016","tonnes","84988","","Official data"
"QL","Livestock Primary","3","Albania","5510","Production","982","Milk, whole fresh sheep","2016","2016","tonnes","85446","","Official data"
"QL","Livestock Primary","4","Algeria","5510","Production","1062","Eggs, hen, in shell","2016","2016","tonnes","388162","","Official data"
"QL","Livestock Primary","4","Algeria","5513","Production","1067","Eggs, hen, in shell (number)","2016","2016","1000 No","6691912","","Official data"
"QL","Livestock Primary","4","Algeria","5510","Production","1182","Honey, natural","2016","2016","tonnes","7132","","Official data"
"QL","Livestock Primary","4","Algeria","5510","Production","1127","Meat, camel","2016","2016","tonnes","5890","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5510","Production","867","Meat, cattle","2016","2016","tonnes","164268","","Official data"
"QL","Livestock Primary","4","Algeria","5510","Production","1058","Meat, chicken","2016","2016","tonnes","259159","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5510","Production","1017","Meat, goat","2016","2016","tonnes","18622","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5510","Production","1097","Meat, horse","2016","2016","tonnes","327","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5510","Production","1035","Meat, pig","2016","2016","tonnes","114","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5510","Production","1141","Meat, rabbit","2016","2016","tonnes","8332","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5510","Production","977","Meat, sheep","2016","2016","tonnes","267997","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5510","Production","1080","Meat, turkey","2016","2016","tonnes","21200","F","FAO estimate"
"QL","Livestock Primary","4","Algeria","5510","Production","1130","Milk, whole fresh camel","2016","2016","tonnes","13928","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5510","Production","882","Milk, whole fresh cow","2016","2016","tonnes","2818000","","Official data"
"QL","Livestock Primary","4","Algeria","5510","Production","1020","Milk, whole fresh goat","2016","2016","tonnes","229066","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","4","Algeria","5510","Production","982","Milk, whole fresh sheep","2016","2016","tonnes","282799","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5510","Production","1062","Eggs, hen, in shell","2016","2016","tonnes","35","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5513","Production","1067","Eggs, hen, in shell (number)","2016","2016","1000 No","730","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5510","Production","867","Meat, cattle","2016","2016","tonnes","4","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5510","Production","1058","Meat, chicken","2016","2016","tonnes","25","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5510","Production","1166","Meat, nes","2016","2016","tonnes","","M","Data not available"
"QL","Livestock Primary","5","American Samoa","5510","Production","1035","Meat, pig","2016","2016","tonnes","309","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","5","American Samoa","5510","Production","882","Milk, whole fresh cow","2016","2016","tonnes","33","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5510","Production","1183","Beeswax","2016","2016","tonnes","2306","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5510","Production","1062","Eggs, hen, in shell","2016","2016","tonnes","5200","F","FAO estimate"
"QL","Livestock Primary","7","Angola","5513","Production","1067","Eggs, hen, in shell (number)","2016","2016","1000 No","98100","F","FAO estimate"
"QL","Livestock Primary","7","Angola","5510","Production","1182","Honey, natural","2016","2016","tonnes","23425","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5510","Production","867","Meat, cattle","2016","2016","tonnes","100155","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5510","Production","1058","Meat, chicken","2016","2016","tonnes","38775","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5510","Production","1163","Meat, game","2016","2016","tonnes","9386","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5510","Production","1017","Meat, goat","2016","2016","tonnes","19370","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5510","Production","1035","Meat, pig","2016","2016","tonnes","113755","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5510","Production","977","Meat, sheep","2016","2016","tonnes","4220","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","7","Angola","5510","Production","882","Milk, whole fresh cow","2016","2016","tonnes","215394","Im","FAO data based on imputation methodology"
