Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,2,Afghanistan,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,20235.07006,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,2,Afghanistan,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,583.883061,Fc,Calculated data,
MK,Macro Indicators,3,Albania,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,11861.35645,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,3,Albania,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,4053.296618,Fc,Calculated data,
MK,Macro Indicators,4,Algeria,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,160034.2117,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,4,Algeria,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,3941.14187,Fc,Calculated data,
MK,Macro Indicators,6,Andorra,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,2877.200509,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,6,Andorra,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,37230.37368,Fc,Calculated data,
MK,Macro Indicators,7,Angola,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,101123.83,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,7,Angola,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,3509.60348,Fc,Calculated data,
MK,Macro Indicators,258,Anguilla,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,317.126204,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,258,Anguilla,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,21479.69415,Fc,Calculated data,
MK,Macro Indicators,8,Antigua and Barbuda,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1436.585185,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,8,Antigua and Barbuda,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,14228.82824,Fc,Calculated data,
MK,Macro Indicators,9,Argentina,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,557532.3174,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,9,Argentina,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,12715.27926,Fc,Calculated data,
MK,Macro Indicators,1,Armenia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,10546.13624,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,1,Armenia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,3605.743486,Fc,Calculated data,
MK,Macro Indicators,22,Aruba,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,2965.865922,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,22,Aruba,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,28294.3077,Fc,Calculated data,
MK,Macro Indicators,10,Australia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1311696.155,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,10,Australia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,54368.914,Fc,Calculated data,
MK,Macro Indicators,11,Austria,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,395227.6841,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,11,Austria,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,45365.18241,Fc,Calculated data,
MK,Macro Indicators,52,Azerbaijan,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,37867.00702,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,52,Azerbaijan,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,3893.629102,Fc,Calculated data,
MK,Macro Indicators,12,Bahamas,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,11938.4,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,12,Bahamas,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,30514.88631,Fc,Calculated data,
MK,Macro Indicators,13,Bahrain,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,32267.86063,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,13,Bahrain,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,22641.39575,Fc,Calculated data,
MK,Macro Indicators,16,Bangladesh,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,220315.8321,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,16,Bangladesh,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,1352.032666,Fc,Calculated data,
MK,Macro Indicators,14,Barbados,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,4830.007352,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,14,Barbados,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,16947.63208,Fc,Calculated data,
MK,Macro Indicators,57,Belarus,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,47723.54932,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,57,Belarus,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,5034.107372,Fc,Calculated data,
MK,Macro Indicators,255,Belgium,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,476056.8331,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,255,Belgium,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,41912.392,Fc,Calculated data,
MK,Macro Indicators,23,Belize,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1775.100179,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,23,Belize,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,4837.391549,Fc,Calculated data,
MK,Macro Indicators,53,Benin,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,8579.061472,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,53,Benin,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,789.075269,Fc,Calculated data,
MK,Macro Indicators,17,Bermuda,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,6093.129076,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,17,Bermuda,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,98808.56673,Fc,Calculated data,
MK,Macro Indicators,18,Bhutan,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,2219.679527,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,18,Bhutan,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,2782.372662,Fc,Calculated data,
MK,Macro Indicators,19,Bolivia (Plurinational State of),6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,33941.09986,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,19,Bolivia (Plurinational State of),6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,3117.32804,Fc,Calculated data,
MK,Macro Indicators,80,Bosnia and Herzegovina,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,16912.95767,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,80,Bosnia and Herzegovina,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,4809.167629,Fc,Calculated data,
MK,Macro Indicators,20,Botswana,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,15646.38217,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,20,Botswana,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,6953.144156,Fc,Calculated data,
MK,Macro Indicators,21,Brazil,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1795085.185,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,21,Brazil,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,8644.644442,Fc,Calculated data,
MK,Macro Indicators,239,British Virgin Islands,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1290.795656,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,239,British Virgin Islands,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,42098.94185,Fc,Calculated data,
MK,Macro Indicators,26,Brunei Darussalam,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,11400.26688,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,26,Brunei Darussalam,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,26938.50338,Fc,Calculated data,
MK,Macro Indicators,27,Bulgaria,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,53783.80034,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,27,Bulgaria,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,7541.729733,Fc,Calculated data,
MK,Macro Indicators,233,Burkina Faso,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,12822.52447,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,233,Burkina Faso,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,687.666347,Fc,Calculated data,
MK,Macro Indicators,29,Burundi,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,2930.089366,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,29,Burundi,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,278.416647,Fc,Calculated data,
MK,Macro Indicators,35,Cabo Verde,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1663.011131,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,35,Cabo Verde,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,3082.161633,Fc,Calculated data,
MK,Macro Indicators,115,Cambodia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,20016.75623,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,115,Cambodia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,1269.907776,Fc,Calculated data,
MK,Macro Indicators,32,Cameroon,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,32643.63264,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,32,Cameroon,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,1392.69463,Fc,Calculated data,
MK,Macro Indicators,33,Canada,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1530272.791,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,33,Canada,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,42168.09855,Fc,Calculated data,
MK,Macro Indicators,36,Cayman Islands,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,4978.366584,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,36,Cayman Islands,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,81928.19196,Fc,Calculated data,
MK,Macro Indicators,37,Central African Republic,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1811.177899,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,37,Central African Republic,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,394.195277,Fc,Calculated data,
MK,Macro Indicators,39,Chad,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,10392.45806,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,39,Chad,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,719.074703,Fc,Calculated data,
MK,Macro Indicators,40,Chile,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,250339.8631,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,40,Chile,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,13977.85046,Fc,Calculated data,
MK,Macro Indicators,351,China,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,11504168.06,A,"Aggregate, may include official, semi-official, estimated or calculated data",
MK,Macro Indicators,351,China,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,8150.802567,Fc,Calculated data,
MK,Macro Indicators,96,"China, Hong Kong SAR",6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,320862.7653,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,96,"China, Hong Kong SAR",6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,43936.69223,Fc,Calculated data,
MK,Macro Indicators,128,"China, Macao SAR",6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,45322.46254,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,128,"China, Macao SAR",6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,74036.10868,Fc,Calculated data,
