Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","2","Afghanistan","5110","Area","6601","Land area","2016","2016","1000 ha","65286","Fm","Manual Estimation"
"RL","Land Use","2","Afghanistan","5110","Area","6602","Agriculture","2016","2016","1000 ha","37910","Fc","Calculated data"
"RL","Land Use","2","Afghanistan","5110","Area","6610","Agricultural land","2016","2016","1000 ha","37910","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","2","Afghanistan","5110","Area","6620","Cropland","2016","2016","1000 ha","7910","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","2","Afghanistan","5110","Area","6621","Arable land","2016","2016","1000 ha","7729","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","2","Afghanistan","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","30000","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6601","Land area","2016","2016","1000 ha","2740","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6602","Agriculture","2016","2016","1000 ha","1181.7","Fc","Calculated data"
"RL","Land Use","3","Albania","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1181.7","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6620","Cropland","2016","2016","1000 ha","703.5","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6621","Arable land","2016","2016","1000 ha","620.3","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6633","Land under temp. meadows and pastures","2016","2016","1000 ha","208.6","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","3","Albania","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","478.2","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","4","Algeria","5110","Area","6601","Land area","2016","2016","1000 ha","238174","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","4","Algeria","5110","Area","6602","Agriculture","2016","2016","1000 ha","41360.2","Fc","Calculated data"
"RL","Land Use","4","Algeria","5110","Area","6610","Agricultural land","2016","2016","1000 ha","41360.2","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","4","Algeria","5110","Area","6620","Cropland","2016","2016","1000 ha","8417.6","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","4","Algeria","5110","Area","6621","Arable land","2016","2016","1000 ha","7404.2","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","4","Algeria","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","32942.6","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","5","American Samoa","5110","Area","6601","Land area","2016","2016","1000 ha","20","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","5","American Samoa","5110","Area","6602","Agriculture","2016","2016","1000 ha","4.9","Fc","Calculated data"
"RL","Land Use","5","American Samoa","5110","Area","6610","Agricultural land","2016","2016","1000 ha","4.9","Fm","Manual Estimation"
"RL","Land Use","5","American Samoa","5110","Area","6620","Cropland","2016","2016","1000 ha","4.9","Fm","Manual Estimation"
"RL","Land Use","5","American Samoa","5110","Area","6621","Arable land","2016","2016","1000 ha","3","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6601","Land area","2016","2016","1000 ha","47","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","6","Andorra","5110","Area","6602","Agriculture","2016","2016","1000 ha","18.78","Fc","Calculated data"
"RL","Land Use","6","Andorra","5110","Area","6610","Agricultural land","2016","2016","1000 ha","18.78","Fm","Manual Estimation"
"RL","Land Use","6","Andorra","5110","Area","6620","Cropland","2016","2016","1000 ha","0.78","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","6","Andorra","5110","Area","6621","Arable land","2016","2016","1000 ha","0.78","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","6","Andorra","5110","Area","6633","Land under temp. meadows and pastures","2016","2016","1000 ha","0.54","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","6","Andorra","5110","Area","6655","Land under perm. meadows and pastures","2016","2016","1000 ha","18","Fm","Manual Estimation"
"RL","Land Use","7","Angola","5110","Area","6601","Land area","2016","2016","1000 ha","124670","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","7","Angola","5110","Area","6602","Agriculture","2016","2016","1000 ha","59190","Fc","Calculated data"
