Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","1107","Asses","2016","2016","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","1126","Camels","2016","2016","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","866","Cattle","2016","2016","LSU/ha","0.1","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","1057","Chickens","2016","2016","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","1016","Goats","2016","2016","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","1096","Horses","2016","2016","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","1110","Mules","2016","2016","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","2","Afghanistan","7213","Livestock units per agricultural land area","976","Sheep","2016","2016","LSU/ha","0.03","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","1107","Asses","2016","2016","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","946","Buffaloes","2016","2016","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","866","Cattle","2016","2016","LSU/ha","0.25","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","1057","Chickens","2016","2016","LSU/ha","0.06","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","1016","Goats","2016","2016","LSU/ha","0.08","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","1096","Horses","2016","2016","LSU/ha","0.02","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","1110","Mules","2016","2016","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","1034","Pigs","2016","2016","LSU/ha","0.04","Fc","Calculated data"
"EK","Livestock Patterns","3","Albania","7213","Livestock units per agricultural land area","976","Sheep","2016","2016","LSU/ha","0.17","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","7213","Livestock units per agricultural land area","1107","Asses","2016","2016","LSU/ha","0","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","7213","Livestock units per agricultural land area","1126","Camels","2016","2016","LSU/ha","0.01","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","7213","Livestock units per agricultural land area","866","Cattle","2016","2016","LSU/ha","0.04","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","7213","Livestock units per agricultural land area","1057","Chickens","2016","2016","LSU/ha","0.03","Fc","Calculated data"
"EK","Livestock Patterns","4","Algeria","7213","Livestock units per agricultural land area","1016","Goats","2016","2016","LSU/ha","0.01","Fc","Calculated data"
