,%N content,Animals used in BAU,Area,BAU animal area required,BAU animals under system,BAU crop area required,BAU feed area required,BAU feed demand,BAU feed production,BAU required milk yields per hectare,BAU_area_required,BAU_nitrogen_input,BAU_production,BAU_total_nitrogen_yield,Flag Description_x,Flag_x,GROUP,IMAGEGROUP,Item_y,Lancet feed demand,NUE,OECD,Production system,Region,Species,Total intake,Unit,Unit_x,Unit_y,Year Code_x,Year Code_y,Year_x,Yield,avg weight,country,crop,feed species,gram per day,grams_food_per_kg,group,lancet animal area required,lancet animals per hectare,lancet area required,lancet feed area required,lancet feed production,lancet food area required,lancet food nitrogen input,lancet food nitrogen yield,lancet food production,lancet nitrogen input,lancet nitrogen yield,lancet required milk yields per hectare,lancet required pasture yields,lancet total production,meat_from_carcass,pasture land,percent_of_group_production,percentage of system,population,product,stocking_rate,total_animals_lancet,total_lancet_slaughtered_milked,yield,yield_from_animal
0,0.05,,Argentina,,,31778.637308370464,0.0,,0.0,,31778.637308370464,483923500.0,967847.0,483923500.0,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,12631.973606605658,0.0,0.0,12631.973606605658,192359062.4827106,192359062.4827106,384718.1249654212,192359062.4827106,192359062.4827106,,,384718.1249654212,,,0.12431950642491778,,43847430.0,Apples,,,,304559.0,
1,0.20800000000000002,,Argentina,,,2351.1160831337725,0.0,,0.0,,2351.1160831337725,55954080.00000001,26901.0,55954080.00000001,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,934.5660740584724,0.0,0.0,934.5660740584724,22241685.66081744,22241685.66081744,10693.11810616223,22241685.66081744,22241685.66081744,,,10693.11810616223,,,0.003455421200186303,,43847430.0,Apricots,,,,114418.0,
2,0.128,,Argentina,,,267.2844999539694,0.0,,0.0,,267.2844999539694,1114880.0,871.0,1114880.0,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,106.24529667872227,0.0,0.0,106.24529667872227,443163.58180729894,443163.58180729894,346.22154828695227,443163.58180729894,443163.58180729894,,,346.22154828695227,,,0.00011187955337579533,,43847430.0,Figs,,,,32587.0,
3,0.3,,Argentina,,,223945.23688232296,0.0,,0.0,,223945.23688232296,5275254000.0,1758418.0,5275254000.0,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,89017.9869631299,0.0,0.0,89017.9869631299,2096907700.903488,2096907700.903488,698969.233634496,2096907700.903488,2096907700.903488,,,698969.233634496,,,0.22586799137538377,,43847430.0,Grapes,,,,78520.0,
4,0.18,,Argentina,,,45983.97491571019,0.0,,0.0,,45983.97491571019,1858402800.0,1032446.0,1858402800.0,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,18278.579783818095,0.0,0.0,18278.579783818095,738713082.3843942,738713082.3843942,410396.156880219,738713082.3843942,738713082.3843942,,,410396.156880219,,,0.13261721855869849,,43847430.0,Oranges,,,,224523.0,
5,0.14,,Argentina,,,12648.026149857244,0.0,,0.0,,12648.026149857244,351031800.00000006,250737.0,351031800.00000006,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,5027.576574486147,0.0,0.0,5027.576574486147,139534756.93909964,139534756.93909964,99667.6835279283,139534756.93909964,139534756.93909964,,,99667.6835279283,,,0.032207053472774735,,43847430.0,Peaches and nectarines,,,,198242.0,
6,0.064,,Argentina,,,25319.851481549827,0.0,,0.0,,25319.851481549827,579587200.0,905605.0,579587200.0,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,10064.613297747259,0.0,0.0,10064.613297747259,230385278.70413256,230385278.70413256,359976.9979752071,230385278.70413256,230385278.70413256,,,359976.9979752071,,,0.11632454986783826,,43847430.0,Pears,,,,357666.0,
7,0.11199999999999999,,Argentina,,,17253.026161655605,0.0,,0.0,,17253.026161655605,168256480.0,150229.0,168256480.0,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,6858.059047443969,0.0,0.0,6858.059047443969,66881766.95167924,66881766.95167924,59715.86334971361,66881766.95167924,66881766.95167924,,,59715.86334971361,,,0.019296846640748974,,43847430.0,Plums and sloes,,,,87074.0,
8,0.18,,Argentina,,,9139.89847128415,0.0,,0.0,,9139.89847128415,227505600.0,126392.0,227505600.0,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,3633.099655469055,0.0,0.0,3633.099655469055,90433227.41211487,90433227.41211487,50240.681895619375,90433227.41211487,90433227.41211487,,,50240.681895619375,,,0.016234994845319775,,43847430.0,Watermelons,,,,138286.0,
9,0.17600000000000002,,Argentina,,,1636.1995557201037,0.0,,0.0,,1636.1995557201037,12444960.000000002,7071.0,12444960.000000002,,,LatinAmerica,South America,,,1.0,,,,,,tonnes,,,,,,,56.3,Argentina,,,,3.434456083803384,all fruit,,,650.3875355773107,0.0,0.0,650.3875355773107,4946858.001801595,4946858.001801595,2810.714773750906,4946858.001801595,4946858.001801595,,,2810.714773750906,,,0.0009082667301036151,,43847430.0,Cherries,,,,43216.0,
